date,category,Exports_US$,volume,unit_price
11/1/2021,Raw Cotton,0,0,
11/1/2021,Cotton Yarn,109133000,30921,3.529413667
11/1/2021,Cotton Cloth,204850000,36528,
11/1/2021,Cotton Crd/Cmd,62000,45,
11/1/2021,Non-Cotton Yarn,5840000,2110,
11/1/2021,Knitwear,457855000,15407000,29.71733628
11/1/2021,Bedwear,315076000,45293,6.956395028
11/1/2021,Towels,105283000,21249,4.954727281
11/1/2021,"Tents, Tarpaulines",11973000,3600,
11/1/2021,Garments,328717000,4170000,78.82901679
11/1/2021,Artificial Silk & Synthetics,41095000,10825,
11/1/2021,Madeups (excl. towels & bedwear),84151000,,
11/1/2021,Other Textiles,72194000,,
